Hallo!,;,Hi!
Guten Morgen!,;,Good morning!
Guten Abend!,;,Good evening!
Willkommen!,;,Welcome!
Wie geht's dir/ Ihnen?,;,How are you?
"Danke, mir geht's gut!",;,"I'm fine, thanks!"
Und dir/Ihnen?,;,And you?
Gut/ So la-la,;,Good/ So-So.
Danke (vielmals)!/ Vielen Dank!,;,Thank you (very much)!
Gern gescheh'n!/ Keine Ursache!/ Kein Problem!,;,You're welcome!
Hey! Kumpel! (only for male people),;,Hey! Friend!
Du hast/ Sie haben mir so gefehlt!,;,I missed you so much!
Was gibt's Neues?,;,What's new?
Nicht viel.,;,Nothing much
Gute Nacht!,;,Good night!
Bis später!,;,See you later!
Auf Wiedersehen!/ Tschüß!,;,Good bye!
Ich habe mich verlaufen!,;,I'm lost
Kann ich dir/ Ihnen helfen?,;,Can I help you?
Kannst du/ Können Sie mir helfen?,;,Can you help me?
Wo ist (das Badezimmer/ die Apotheke?),;,Where is the (bathroom/ pharmacy)?
Gehen Sie geradeaus! Dann links / rechts abbiegen!,;,Go straight! then turn left/ right!
Ich suche John.,;,I'm looking for john.
"Einen Augenblick, bitte!",;,One moment please!
"Bleiben Sie dran, bitte!",;,Hold on please! (phone)
Was kostet das?/ Wie teuer ist das?,;,How much is this?
Entschuldigen Sie bitte...!,;,Excuse me ...! (to ask for something)
Darf ich mal vorbei?,;,Excuse me! ( to pass by)
Kommen Sie mit!,;,Come with me!
Sprechen Sie (Englisch/ Deutsch)?,;,Do you speak (English/ German)?
Nur ein bißchen.,;,Just a little.
Wie heißen Sie?,;,What's your name?
Ich heiße... / Mein Name ist...,;,My name is ...
Herr/ Frau/ Fräulein (not used anymore),;,Mr.../ Mrs.…/ Miss…
"Schön, Sie kennenzulernen!",;,Nice to meet you!
Du bist/ Sie sind sehr freundlich!,;,You're very kind!
Woher kommst du/ kommen Sie?,;,Where are you from?
Ich komme (aus den U.S.A./ aus Amerika / aus Deutschland),;,I'm from (the U.S/ Germany)
Ich bin (Amerikaner),;,I'm (American)
Wo wohnst du/ wohnen Sie?,;,Where do you live?
Ich wohne (in den U.S.A./ in Amerika/ in Deutschland),;,I live in (the U.S/ Germany)
Gefällt es dir/ Ihnen hier?,;,Did you like it here?
Deutschland ist wunderschön,;,Germany is a wonderful country
Was ist dein/ Ihr Beruf?,;,What do you do for a living?
Ich bin (Übersetzer/Dolmetscher) / Geschäftsmann,;,I work as a (translator/ businessman)
Ich mag Deutsch,;,I like German
Ich lerne seit einem Monat Deutsch,;,I've been learning German for 1 month
Oh! Das ist toll!,;,Oh! That's good!
Wie alt bist du/ sind Sie?,;,How old are you?
"Ich bin (zwanzig, dreißig,...) Jahre (alt).",;,"I'm (twenty, thirty...) years old."
Ich muß gehen/ los!,;,I have to go
Ich bin sofort wieder da!,;,I will be right back!
Viel Glück!,;,Good luck!
Alles Gute zum Geburtstag!,;,Happy birthday!
Ein frohes neues Jahr!,;,Happy new year!
Fröhliche Weihnachten!,;,Merry Christmas!
(Herzlichen) Glückwunsch!,;,Congratulations!
Guten Appetit!,;,Enjoy!
Ich möchte eines Tages (mal) nach Deutschland reisen,;,I'd like to visit Germany one day
Grüß/ Grüßen Sie John von mir!,;,Say hi to John for me
Gesundheit!,;,Bless you 
Gute Nacht und träum was schönes!,;,Good night and sweet dreams!
"Entschuldigung, ich habe Sie nicht verstanden!",;,I'm Sorry!
Entschuldigung!/ Es tut mir leid!,;,Sorry 
Kein Problem!/ Keine Ursache!,;,No Problem!
Kannst du/ Können Sie das nochmal wiederholen?,;,Can You Say It Again?
Kannst du/ Können Sie (etwas) langsamer sprechen?,;,Can You Speak Slowly?
Schreib/ Schreiben Sie es bitte auf!,;,Write It Down Please!
"Ich verstehe das/ dich/ Sie nicht! (das:that, dich:you, Sie:you polite)",;,I Don't Understand!
Ich weiß (es) nicht!,;,I Don't Know!
Ich habe keine Ahnung.,;,I Have No Idea.
Wie heißt das auf deutsch?,;,What's That Called In German?
"Was bedeutet ""nacht"" auf englisch?",;,"What Does ""gato"" Mean In English?"
"Wie sagt man ""please"" auf deutsch?",;,"How Do You Say ""Please"" In German?"
Was ist das (hier)?,;,What Is This?
Mein Deutsch ist schlecht.,;,My German is bad.
Ich muß (mein) Deutsch üben.,;,I need to practice my German
